#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADNP2	HOMEZ	9606.ENSP00000262198	9606.ENSP00000350049	0	0	0	0	0	0	0	0.498	0.498
CDH2	SMAD7	9606.ENSP00000269141	9606.ENSP00000262158	0	0	0	0	0	0.057	0	0.585	0.592
CDH2	SKIL	9606.ENSP00000269141	9606.ENSP00000415243	0	0	0	0	0	0	0	0.432	0.432
CEBPB	DUSP1	9606.ENSP00000305422	9606.ENSP00000239223	0	0	0	0	0.126	0	0	0.381	0.436
CEBPB	FOSB	9606.ENSP00000305422	9606.ENSP00000245919	0	0	0	0	0.054	0.078	0	0.376	0.408
CEBPB	SRF	9606.ENSP00000305422	9606.ENSP00000265354	0	0	0	0	0.070	0.678	0	0.479	0.830
CEBPB	JUNB	9606.ENSP00000305422	9606.ENSP00000303315	0	0	0	0	0.267	0.102	0	0.477	0.626
CEBPB	DOT1L	9606.ENSP00000305422	9606.ENSP00000381657	0	0	0	0	0	0	0	0.433	0.433
CEBPB	FOSL1	9606.ENSP00000305422	9606.ENSP00000310170	0	0	0	0	0.078	0.078	0	0.461	0.502
CEBPB	ZC3H12A	9606.ENSP00000305422	9606.ENSP00000362179	0	0	0	0	0.156	0.270	0	0.303	0.533
CEBPB	ETS1	9606.ENSP00000305422	9606.ENSP00000376436	0	0	0	0	0.064	0.058	0	0.615	0.631
CEBPB	TRIB1	9606.ENSP00000305422	9606.ENSP00000312150	0	0	0	0	0.122	0.481	0	0.406	0.706
CEBPB	DDIT3	9606.ENSP00000305422	9606.ENSP00000448665	0	0	0	0	0.088	0.771	0.650	0.971	0.997
CHD8	KDM6B	9606.ENSP00000382863	9606.ENSP00000254846	0	0	0	0	0.092	0.203	0	0.247	0.407
CHD8	SRF	9606.ENSP00000382863	9606.ENSP00000265354	0	0	0	0	0	0.105	0	0.467	0.503
CHD8	MAFG	9606.ENSP00000382863	9606.ENSP00000350369	0	0	0	0	0	0.290	0	0.375	0.538
CHD8	GREB1	9606.ENSP00000382863	9606.ENSP00000370896	0	0	0	0	0	0	0	0.444	0.444
CHD8	ZNF658	9606.ENSP00000382863	9606.ENSP00000482540	0	0	0	0	0	0.105	0	0.630	0.654
CLCF1	LIF	9606.ENSP00000309338	9606.ENSP00000249075	0	0	0	0	0.175	0	0	0.477	0.550
CLCF1	IL11	9606.ENSP00000309338	9606.ENSP00000264563	0	0	0	0	0.065	0	0	0.559	0.570
CSRNP1	FOSB	9606.ENSP00000273153	9606.ENSP00000245919	0	0	0	0	0.227	0	0	0.307	0.441
CYP2R1	ETS1	9606.ENSP00000334592	9606.ENSP00000376436	0	0	0	0	0	0.056	0	0.399	0.409
DDIT3	GADD45B	9606.ENSP00000448665	9606.ENSP00000215631	0	0	0	0	0.062	0	0	0.440	0.452
DDIT3	JUNB	9606.ENSP00000448665	9606.ENSP00000303315	0	0	0	0	0.060	0.492	0	0.196	0.583
DDIT3	FOSL1	9606.ENSP00000448665	9606.ENSP00000310170	0	0	0	0	0.062	0.299	0	0.257	0.469
DDIT3	MAP4K4	9606.ENSP00000448665	9606.ENSP00000343658	0	0	0	0	0	0	0	0.448	0.448
DDIT3	MAFG	9606.ENSP00000448665	9606.ENSP00000350369	0	0	0	0	0	0.299	0	0.180	0.400
DLX2	SLC17A7	9606.ENSP00000234198	9606.ENSP00000221485	0	0	0	0	0.062	0.057	0	0.406	0.428
DLX2	PRICKLE3	9606.ENSP00000234198	9606.ENSP00000470248	0	0	0	0	0	0.057	0	0.537	0.544
DOT1L	HOXA5	9606.ENSP00000381657	9606.ENSP00000222726	0	0	0	0	0	0	0	0.485	0.485
DOT1L	KDM6B	9606.ENSP00000381657	9606.ENSP00000254846	0	0	0	0	0.094	0	0	0.556	0.580
DOT1L	ELL	9606.ENSP00000381657	9606.ENSP00000262809	0	0	0	0	0.066	0	0	0.700	0.708
DOT1L	PRMT8	9606.ENSP00000381657	9606.ENSP00000372067	0	0	0	0	0	0	0	0.462	0.462
DUSP1	GADD45B	9606.ENSP00000239223	9606.ENSP00000215631	0	0	0	0	0.262	0	0	0.425	0.557
DUSP1	FOSL1	9606.ENSP00000239223	9606.ENSP00000310170	0	0	0	0	0.063	0.139	0	0.323	0.406
DUSP1	MAP2K3	9606.ENSP00000239223	9606.ENSP00000345083	0	0	0	0	0.061	0.076	0	0.538	0.564
DUSP1	NR4A1	9606.ENSP00000239223	9606.ENSP00000440864	0	0	0	0	0.301	0	0	0.573	0.689
DUSP1	JUNB	9606.ENSP00000239223	9606.ENSP00000303315	0	0	0	0	0.658	0.145	0	0.299	0.777
DUSP1	FOSB	9606.ENSP00000239223	9606.ENSP00000245919	0	0	0	0	0.676	0.139	0	0.539	0.860
DUSP10	PPP1R3C	9606.ENSP00000355866	9606.ENSP00000238994	0	0	0	0	0	0	0	0.463	0.463
DUSP5	GADD45B	9606.ENSP00000358596	9606.ENSP00000215631	0	0	0	0	0.126	0	0	0.391	0.445
DUSP5	FOSB	9606.ENSP00000358596	9606.ENSP00000245919	0	0	0	0	0.108	0.139	0	0.317	0.430
DUSP5	FOSL1	9606.ENSP00000358596	9606.ENSP00000310170	0	0	0	0	0.119	0.139	0	0.293	0.417
DUSP5	SPRY4	9606.ENSP00000358596	9606.ENSP00000344967	0	0	0	0	0.060	0	0	0.494	0.504
DUSP5	NR4A1	9606.ENSP00000358596	9606.ENSP00000440864	0	0	0	0	0.141	0	0	0.388	0.452
DUSP5	SPRY1	9606.ENSP00000358596	9606.ENSP00000481675	0	0	0	0	0.062	0	0	0.504	0.514
DYRK2	FOSL1	9606.ENSP00000342105	9606.ENSP00000310170	0	0	0	0	0	0	0	0.431	0.431
DYRK3	GADD45B	9606.ENSP00000356076	9606.ENSP00000215631	0	0	0	0	0	0	0	0.545	0.545
EAF1	ELL	9606.ENSP00000380054	9606.ENSP00000262809	0	0	0	0	0.062	0.755	0.800	0.842	0.991
EGR3	FOSB	9606.ENSP00000318057	9606.ENSP00000245919	0	0	0	0	0.271	0.062	0.650	0.605	0.892
EGR3	SRF	9606.ENSP00000318057	9606.ENSP00000265354	0	0	0	0	0	0.066	0.650	0.374	0.777
EGR3	JUNB	9606.ENSP00000318057	9606.ENSP00000303315	0	0	0	0	0.100	0.101	0.650	0.376	0.799
EGR3	FOSL1	9606.ENSP00000318057	9606.ENSP00000310170	0	0	0	0	0.054	0.062	0.650	0.400	0.788
EGR3	PPP3CC	9606.ENSP00000318057	9606.ENSP00000380878	0	0	0	0	0.067	0.101	0	0.383	0.437
EGR3	HIVEP1	9606.ENSP00000318057	9606.ENSP00000368698	0	0	0	0	0	0	0	0.460	0.460
EGR3	NR4A1	9606.ENSP00000318057	9606.ENSP00000440864	0	0	0	0	0.158	0.061	0	0.602	0.658
ELL	USPL1	9606.ENSP00000262809	9606.ENSP00000255304	0	0	0	0	0.062	0.413	0	0.495	0.698
ELMO1	PLEKHH2	9606.ENSP00000312185	9606.ENSP00000282406	0	0	0	0	0	0	0	0.602	0.602
ETS1	SNAI1	9606.ENSP00000376436	9606.ENSP00000244050	0	0	0	0	0.062	0.102	0	0.463	0.509
ETS1	SRF	9606.ENSP00000376436	9606.ENSP00000265354	0	0	0	0	0	0.056	0.800	0.483	0.894
ETS1	JUNB	9606.ENSP00000376436	9606.ENSP00000303315	0	0	0	0	0.066	0.158	0	0.328	0.426
ETS1	IL4R	9606.ENSP00000376436	9606.ENSP00000379111	0	0	0	0	0.083	0	0.900	0.128	0.913
EXOC8	SNAP47	9606.ENSP00000355605	9606.ENSP00000314157	0	0	0	0	0	0.139	0	0.383	0.446
FANCF	HES1	9606.ENSP00000330875	9606.ENSP00000232424	0	0	0	0	0	0.486	0.900	0.398	0.966
FLRT3	RND1	9606.ENSP00000367292	9606.ENSP00000308461	0	0	0	0	0	0.125	0	0.890	0.900
FLRT3	SPRY4	9606.ENSP00000367292	9606.ENSP00000344967	0	0	0	0	0.066	0	0	0.541	0.553
FOSB	GADD45B	9606.ENSP00000245919	9606.ENSP00000215631	0	0	0	0	0.140	0	0	0.491	0.544
FOSB	MAFF	9606.ENSP00000245919	9606.ENSP00000345393	0	0	0	0	0.132	0.062	0	0.326	0.404
FOSB	SRF	9606.ENSP00000245919	9606.ENSP00000265354	0	0	0	0	0	0.058	0.650	0.418	0.791
FOSB	FOSL1	9606.ENSP00000245919	9606.ENSP00000310170	0	0	0	0.821	0.062	0	0.800	0.987	0.838
FOSB	NR4A1	9606.ENSP00000245919	9606.ENSP00000440864	0	0	0	0	0.565	0.146	0	0.677	0.869
FOSB	MAFG	9606.ENSP00000245919	9606.ENSP00000350369	0	0	0	0	0.063	0.062	0.900	0.545	0.954
FOSB	JUNB	9606.ENSP00000245919	9606.ENSP00000303315	0	0	0	0	0.346	0.607	0.900	0.896	0.996
FOSL1	SNAI1	9606.ENSP00000310170	9606.ENSP00000244050	0	0	0	0	0.102	0.270	0	0.415	0.583
FOSL1	SRF	9606.ENSP00000310170	9606.ENSP00000265354	0	0	0	0	0.062	0.058	0.650	0.294	0.752
FOSL1	JUNB	9606.ENSP00000310170	9606.ENSP00000303315	0	0	0	0	0.088	0.843	0.900	0.949	0.999
FOSL1	MAP2K3	9606.ENSP00000310170	9606.ENSP00000345083	0	0	0	0	0.107	0	0	0.359	0.403
FOSL1	MAFF	9606.ENSP00000310170	9606.ENSP00000345393	0	0	0	0	0.131	0.062	0	0.327	0.404
FOSL1	MAFG	9606.ENSP00000310170	9606.ENSP00000350369	0	0	0	0	0.086	0.062	0	0.399	0.440
FOSL1	NR4A1	9606.ENSP00000310170	9606.ENSP00000440864	0	0	0	0	0.063	0.146	0	0.427	0.502
GADD45B	NR4A1	9606.ENSP00000215631	9606.ENSP00000440864	0	0	0	0	0.097	0	0	0.459	0.491
GADD45B	JUNB	9606.ENSP00000215631	9606.ENSP00000303315	0	0	0	0	0.362	0	0	0.255	0.505
GADD45B	MAP2K3	9606.ENSP00000215631	9606.ENSP00000345083	0	0	0	0	0.070	0	0.900	0.263	0.925
GREB1	SMAD7	9606.ENSP00000370896	9606.ENSP00000262158	0	0	0	0	0	0	0	0.447	0.447
HBEGF	SPRY2	9606.ENSP00000230990	9606.ENSP00000366306	0	0	0	0	0.085	0	0.600	0.082	0.634
HBEGF	SPRY1	9606.ENSP00000230990	9606.ENSP00000481675	0	0	0	0	0.062	0	0.600	0.123	0.642
HBEGF	LIF	9606.ENSP00000230990	9606.ENSP00000249075	0	0	0	0	0.108	0	0.900	0.424	0.944
HIC1	MNT	9606.ENSP00000314080	9606.ENSP00000174618	0	0	0	0	0	0.058	0	0.499	0.507
HOXA3	HOXA5	9606.ENSP00000484411	9606.ENSP00000222726	0	0	0	0.752	0.412	0	0	0.727	0.517
IL11	LIF	9606.ENSP00000264563	9606.ENSP00000249075	0	0	0	0	0.076	0	0	0.763	0.771
IL11	IL4R	9606.ENSP00000264563	9606.ENSP00000379111	0	0	0	0	0	0	0.600	0.171	0.654
IL4R	LIF	9606.ENSP00000379111	9606.ENSP00000249075	0	0	0	0	0.075	0	0.600	0.113	0.643
INSIG1	LDLR	9606.ENSP00000344741	9606.ENSP00000454071	0	0	0	0	0.194	0.062	0	0.559	0.637
JUNB	SRF	9606.ENSP00000303315	9606.ENSP00000265354	0	0	0	0	0.062	0	0.650	0.381	0.779
JUNB	MAFG	9606.ENSP00000303315	9606.ENSP00000350369	0	0	0	0	0.062	0.131	0	0.355	0.429
JUNB	MAFF	9606.ENSP00000303315	9606.ENSP00000345393	0	0	0	0	0.189	0.131	0	0.335	0.490
JUNB	TRIB1	9606.ENSP00000303315	9606.ENSP00000312150	0	0	0	0	0.147	0.474	0	0.123	0.572
JUNB	NR4A1	9606.ENSP00000303315	9606.ENSP00000440864	0	0	0	0	0.315	0.105	0	0.415	0.610
KLF10	SMAD7	9606.ENSP00000285407	9606.ENSP00000262158	0	0	0	0	0.062	0.066	0	0.504	0.527
KLF10	NR4A1	9606.ENSP00000285407	9606.ENSP00000440864	0	0	0	0	0.062	0.061	0	0.390	0.415
KLHL15	KLHL21	9606.ENSP00000332791	9606.ENSP00000366886	0	0	0	0.624	0	0	0.360	0.745	0.536
KLHL21	THAP3	9606.ENSP00000366886	9606.ENSP00000054650	0	0	0	0	0.062	0	0	0.474	0.486
LDLR	TRIB1	9606.ENSP00000454071	9606.ENSP00000312150	0	0	0	0	0.062	0	0	0.393	0.406
LFNG	MFNG	9606.ENSP00000222725	9606.ENSP00000349490	0	0	0	0.955	0.079	0	0.800	0.791	0.814
LIPT2	SLC19A2	9606.ENSP00000309463	9606.ENSP00000236137	0	0	0	0	0.062	0	0	0.526	0.536
LIPT2	SLC25A33	9606.ENSP00000309463	9606.ENSP00000306328	0	0	0	0	0.063	0	0	0.443	0.455
MAFF	MAFG	9606.ENSP00000345393	9606.ENSP00000350369	0	0	0	0.949	0.108	0.271	0.900	0.922	0.932
MALT1	PRKCD	9606.ENSP00000319279	9606.ENSP00000378217	0	0	0	0	0	0.270	0	0.323	0.484
MALT1	ZC3H12A	9606.ENSP00000319279	9606.ENSP00000362179	0	0	0	0	0.062	0	0	0.602	0.611
MAP2K3	SMAD7	9606.ENSP00000345083	9606.ENSP00000262158	0	0	0	0	0.062	0.270	0	0.303	0.482
MAP2K3	TSSK6	9606.ENSP00000345083	9606.ENSP00000466477	0	0	0.408	0	0.078	0	0	0.041	0.431
MAP4K4	TRAF4	9606.ENSP00000343658	9606.ENSP00000262395	0	0	0	0	0.062	0.260	0	0.293	0.467
MFSD2A	SLC25A33	9606.ENSP00000361895	9606.ENSP00000306328	0	0	0	0	0	0	0	0.622	0.622
NFKBID	ZC3H12A	9606.ENSP00000380109	9606.ENSP00000362179	0	0	0	0	0.117	0.270	0	0.475	0.632
NMB	SRF	9606.ENSP00000378089	9606.ENSP00000265354	0	0	0	0	0	0	0	0.535	0.535
NR4A1	SMAD7	9606.ENSP00000440864	9606.ENSP00000262158	0	0	0	0	0.062	0.270	0	0.228	0.425
PAPD7	ZCCHC2	9606.ENSP00000230859	9606.ENSP00000269499	0	0	0	0	0.163	0.247	0	0.381	0.576
PPP1R3C	RPS6KA6	9606.ENSP00000238994	9606.ENSP00000262752	0	0	0	0	0	0	0.600	0.047	0.602
PPP1R3C	PPP3CC	9606.ENSP00000238994	9606.ENSP00000380878	0	0	0	0	0	0.183	0.540	0.055	0.613
PPP6C	PRKCD	9606.ENSP00000392147	9606.ENSP00000378217	0	0	0	0	0.055	0.147	0	0.315	0.400
PRKCD	SPRY2	9606.ENSP00000378217	9606.ENSP00000366306	0	0	0	0	0	0.297	0	0.491	0.627
PRMT8	SRSF5	9606.ENSP00000372067	9606.ENSP00000452123	0	0	0	0	0.065	0.352	0	0.207	0.477
PWWP2A	ZSWIM6	9606.ENSP00000305151	9606.ENSP00000252744	0	0	0	0	0.062	0	0	0.402	0.415
PWWP2A	ZNF19	9606.ENSP00000305151	9606.ENSP00000288177	0	0	0	0	0	0	0	0.413	0.412
RGS3	TIAM2	9606.ENSP00000363255	9606.ENSP00000437188	0	0	0	0	0	0	0	0.564	0.564
SENP5	USPL1	9606.ENSP00000327197	9606.ENSP00000255304	0	0	0	0	0.084	0	0	0.603	0.621
SERTAD2	SERTAD3	9606.ENSP00000326933	9606.ENSP00000325414	0	0	0	0	0	0	0	0.669	0.670
SERTAD2	SERTAD4	9606.ENSP00000326933	9606.ENSP00000355979	0	0	0	0	0	0	0	0.558	0.558
SERTAD3	SERTAD4	9606.ENSP00000325414	9606.ENSP00000355979	0	0	0	0	0	0	0	0.609	0.609
SKIL	SMAD7	9606.ENSP00000415243	9606.ENSP00000262158	0	0	0	0	0.063	0.213	0	0.693	0.754
SKIL	TGIF1	9606.ENSP00000415243	9606.ENSP00000327959	0	0	0	0	0	0	0	0.583	0.583
SLC17A7	SYT3	9606.ENSP00000221485	9606.ENSP00000340914	0	0	0	0	0.182	0	0	0.310	0.411
SLC19A2	SLC25A33	9606.ENSP00000236137	9606.ENSP00000306328	0	0	0	0	0	0	0	0.497	0.497
SMAD7	SNAI1	9606.ENSP00000262158	9606.ENSP00000244050	0	0	0	0	0.049	0.078	0	0.564	0.584
SMAD7	SRF	9606.ENSP00000262158	9606.ENSP00000265354	0	0	0	0	0	0.282	0	0.241	0.432
SNAI1	SPRY4	9606.ENSP00000244050	9606.ENSP00000344967	0	0	0	0	0.065	0	0	0.453	0.467
SNAP47	SYT3	9606.ENSP00000314157	9606.ENSP00000340914	0	0	0	0	0.062	0.255	0	0.530	0.642
SPRY1	SPRY4	9606.ENSP00000481675	9606.ENSP00000344967	0	0	0	0.895	0.096	0.182	0.900	0.761	0.925
SPRY1	SPRY2	9606.ENSP00000481675	9606.ENSP00000366306	0	0	0	0.937	0.088	0.437	0.900	0.879	0.947
SPRY2	SPRY4	9606.ENSP00000366306	9606.ENSP00000344967	0	0	0	0.883	0.141	0.345	0.900	0.814	0.944
TRAF4	ZC3H12A	9606.ENSP00000262395	9606.ENSP00000362179	0	0	0	0	0.070	0.129	0	0.374	0.448
TTC30A	TTC30B	9606.ENSP00000347915	9606.ENSP00000386181	0	0	0	0.986	0.182	0.128	0.900	0.563	0.923
ZKSCAN5	ZNF346	9606.ENSP00000377725	9606.ENSP00000350869	0	0	0	0	0	0	0	0.445	0.445
ZKSCAN5	ZSCAN20	9606.ENSP00000377725	9606.ENSP00000355053	0	0	0	0.740	0	0.636	0	0	0.636
ZNF574	ZSWIM6	9606.ENSP00000469029	9606.ENSP00000252744	0	0	0	0	0	0.057	0	0.459	0.468
