#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCK1	ADCK3	9606.ENSP00000238561	9606.ENSP00000355741	0	0	0.302	0.592	0.085	0	0	0.804	0.450
ADCK3	SETX	9606.ENSP00000355741	9606.ENSP00000224140	0	0	0	0	0.062	0	0	0.452	0.464
ADCK3	CLPB	9606.ENSP00000355741	9606.ENSP00000294053	0	0	0	0	0.122	0.286	0	0.138	0.412
ADCY9	GLIS2	9606.ENSP00000294016	9606.ENSP00000262366	0	0	0	0	0.062	0.058	0	0.593	0.609
ADCY9	SETD1B	9606.ENSP00000294016	9606.ENSP00000442924	0	0	0	0	0.063	0	0	0.471	0.484
ADCY9	GCH1	9606.ENSP00000294016	9606.ENSP00000419045	0	0	0	0	0.062	0	0.600	0	0.608
ADCY9	NME6	9606.ENSP00000294016	9606.ENSP00000416658	0	0	0	0	0	0	0.650	0	0.650
ADCY9	GNGT2	9606.ENSP00000294016	9606.ENSP00000426022	0	0	0	0	0.052	0	0.650	0.106	0.677
AGO2	TRIM28	9606.ENSP00000220592	9606.ENSP00000253024	0	0	0	0	0	0.163	0	0.328	0.414
AGO2	EFTUD2	9606.ENSP00000220592	9606.ENSP00000392094	0	0	0	0	0.049	0.396	0	0.079	0.425
AGO2	DDX10	9606.ENSP00000220592	9606.ENSP00000314348	0	0	0	0	0.083	0.132	0	0.369	0.453
AGO2	ZCCHC6	9606.ENSP00000220592	9606.ENSP00000365130	0	0	0	0	0.062	0.179	0	0.374	0.476
AGO2	PHB	9606.ENSP00000220592	9606.ENSP00000479488	0	0	0	0	0	0.486	0	0.081	0.507
AGO2	ALG1	9606.ENSP00000220592	9606.ENSP00000262374	0	0	0	0	0	0	0	0.525	0.525
AGO2	DDX17	9606.ENSP00000220592	9606.ENSP00000380033	0	0	0	0	0.062	0.243	0	0.503	0.616
AGO2	RBM38	9606.ENSP00000220592	9606.ENSP00000348538	0	0	0	0	0.062	0	0	0.664	0.672
AGO2	POP5	9606.ENSP00000220592	9606.ENSP00000350098	0	0	0	0	0	0	0.900	0	0.900
AGO2	FMR1	9606.ENSP00000220592	9606.ENSP00000359506	0	0	0	0	0.062	0.447	0.720	0.985	0.997
AHDC1	KCTD19	9606.ENSP00000363123	9606.ENSP00000305702	0	0	0	0	0	0	0	0.450	0.450
AHRR	CYP1B1	9606.ENSP00000323816	9606.ENSP00000478561	0	0	0	0	0.086	0	0	0.641	0.658
AKR1B1	G6PC3	9606.ENSP00000285930	9606.ENSP00000269097	0	0	0	0	0	0	0.800	0.062	0.804
AKR1B1	PLA2R1	9606.ENSP00000285930	9606.ENSP00000283243	0	0	0	0	0	0.059	0	0.591	0.599
AKR1B1	BCAT1	9606.ENSP00000285930	9606.ENSP00000443459	0	0	0	0	0.085	0.369	0	0.105	0.438
AKR1B1	VEGFA	9606.ENSP00000285930	9606.ENSP00000478570	0	0	0	0	0	0	0	0.470	0.470
AKR1B1	ALDH3A2	9606.ENSP00000285930	9606.ENSP00000345774	0	0	0	0	0.073	0.102	0.650	0.380	0.795
AKR1B1	AKR1C3	9606.ENSP00000285930	9606.ENSP00000369927	0	0	0.449	0.939	0	0	0.900	0.607	0.906
AKR1C3	STS	9606.ENSP00000369927	9606.ENSP00000217961	0	0	0	0	0	0	0.900	0.527	0.950
AKR1C3	MTSS1L	9606.ENSP00000369927	9606.ENSP00000341171	0	0	0	0	0	0	0	0.450	0.450
AKR1C3	CYP1B1	9606.ENSP00000369927	9606.ENSP00000478561	0	0	0	0	0.062	0	0.900	0.380	0.936
AKT1S1	LAMTOR1	9606.ENSP00000375711	9606.ENSP00000278671	0	0	0	0	0.063	0	0.600	0.418	0.763
AKT1S1	RPS6KA3	9606.ENSP00000375711	9606.ENSP00000368884	0	0	0	0	0	0	0	0.462	0.462
ALDH3A2	GDAP1	9606.ENSP00000345774	9606.ENSP00000220822	0	0	0	0	0	0	0.900	0.167	0.913
ALDH3A2	FMO5	9606.ENSP00000345774	9606.ENSP00000254090	0	0	0	0	0.063	0	0	0.461	0.473
ALDH3A2	FGF2	9606.ENSP00000345774	9606.ENSP00000264498	0	0	0	0	0.062	0	0	0.430	0.442
ALDH3A2	FMO4	9606.ENSP00000345774	9606.ENSP00000356723	0	0	0	0	0.062	0	0	0.406	0.419
ALDH3A2	CYP1B1	9606.ENSP00000345774	9606.ENSP00000478561	0	0	0	0	0.062	0.061	0	0.474	0.496
ALDOB	G6PC3	9606.ENSP00000363988	9606.ENSP00000269097	0	0	0	0	0.060	0	0.800	0.321	0.861
ANKRD39	R3HDM2	9606.ENSP00000377170	9606.ENSP00000317903	0	0	0	0	0	0	0	0.400	0.400
ANKRD7	PPAPDC1A	9606.ENSP00000349612	9606.ENSP00000381302	0	0	0	0	0	0.063	0	0.447	0.460
ANXA8	VEGFA	9606.ENSP00000478026	9606.ENSP00000478570	0	0	0	0	0	0	0	0.458	0.457
AP5S1	RASSF2	9606.ENSP00000481750	9606.ENSP00000368710	0	0	0	0	0	0	0	0.645	0.645
AP5S1	LETM2	9606.ENSP00000481750	9606.ENSP00000369291	0	0	0	0	0	0	0	0.531	0.531
APLP2	LAMA5	9606.ENSP00000263574	9606.ENSP00000252999	0	0	0	0	0.061	0	0	0.389	0.401
APLP2	CDK5	9606.ENSP00000263574	9606.ENSP00000419782	0	0	0	0	0	0	0	0.423	0.423
APLP2	MAPT	9606.ENSP00000263574	9606.ENSP00000340820	0	0	0	0	0.062	0	0	0.428	0.441
APLP2	DAB2	9606.ENSP00000263574	9606.ENSP00000313391	0	0	0	0	0.084	0.432	0	0.217	0.557
AQP1	CA2	9606.ENSP00000311165	9606.ENSP00000285379	0	0	0	0	0.072	0	0	0.543	0.558
AQP1	VEGFA	9606.ENSP00000311165	9606.ENSP00000478570	0	0	0	0	0.062	0	0	0.408	0.420
ARHGAP21	ARHGAP35	9606.ENSP00000379709	9606.ENSP00000385720	0	0	0	0.545	0.090	0.386	0	0.130	0.442
ARHGAP35	CLDN11	9606.ENSP00000385720	9606.ENSP00000064724	0	0	0	0	0	0	0	0.456	0.456
ARHGAP35	WASL	9606.ENSP00000385720	9606.ENSP00000223023	0	0	0	0	0.063	0	0	0.476	0.488
ARHGAP35	ARHGDIA	9606.ENSP00000385720	9606.ENSP00000269321	0	0	0	0	0	0	0	0.588	0.588
ARHGAP35	DLC1	9606.ENSP00000385720	9606.ENSP00000276297	0	0	0	0.541	0.091	0.243	0	0.420	0.412
ARHGAP35	MAP3K14	9606.ENSP00000385720	9606.ENSP00000482657	0	0	0	0	0.062	0	0	0.393	0.406
ARHGAP35	RHOBTB2	9606.ENSP00000385720	9606.ENSP00000427926	0	0	0	0	0.096	0.102	0	0.432	0.499
ARHGDIA	WASL	9606.ENSP00000269321	9606.ENSP00000223023	0	0	0	0	0	0	0	0.412	0.412
ARHGDIA	TRPC6	9606.ENSP00000269321	9606.ENSP00000340913	0	0	0	0	0	0	0	0.429	0.429
ARHGDIA	RHOBTB2	9606.ENSP00000269321	9606.ENSP00000427926	0	0	0	0	0.089	0.252	0	0.580	0.689
ARMC6	ARRDC2	9606.ENSP00000444156	9606.ENSP00000222250	0	0	0	0	0	0	0	0.427	0.427
ARMC6	PEAK1	9606.ENSP00000444156	9606.ENSP00000452796	0	0	0	0	0	0	0	0.407	0.407
ARRDC2	DENND2A	9606.ENSP00000222250	9606.ENSP00000275884	0	0	0	0	0	0	0	0.419	0.419
ATP5G1	TACO1	9606.ENSP00000377033	9606.ENSP00000258975	0	0	0	0	0.138	0	0	0.400	0.461
ATP5G1	NDUFA9	9606.ENSP00000377033	9606.ENSP00000266544	0	0	0	0	0.831	0	0	0.367	0.889
ATP5G1	NDUFB9	9606.ENSP00000377033	9606.ENSP00000276689	0	0	0	0	0.663	0	0	0.472	0.814
ATP5G1	CYC1	9606.ENSP00000377033	9606.ENSP00000317159	0	0	0	0	0.873	0	0.900	0.388	0.991
ATP5G1	TIMM22	9606.ENSP00000377033	9606.ENSP00000320236	0	0	0	0	0.091	0	0.900	0.200	0.921
ATP5G1	RPS26	9606.ENSP00000377033	9606.ENSP00000348849	0.144	0	0	0	0.108	0	0	0.427	0.524
ATP5G1	COX7A2	9606.ENSP00000377033	9606.ENSP00000359098	0	0	0	0	0.263	0	0	0.298	0.461
ATP5G1	SNRNP25	9606.ENSP00000377033	9606.ENSP00000372482	0	0	0	0	0.609	0	0	0	0.609
ATP5G1	GNGT2	9606.ENSP00000377033	9606.ENSP00000426022	0	0	0	0	0.054	0	0	0.437	0.444
ATP5G1	TIMM17B	9606.ENSP00000377033	9606.ENSP00000379999	0	0	0	0	0.181	0	0.600	0.074	0.670
ATP8B4	BEND7	9606.ENSP00000284509	9606.ENSP00000345773	0	0	0	0	0	0	0	0.409	0.408
B2M	PSME2	9606.ENSP00000452780	9606.ENSP00000216802	0	0	0	0	0.302	0	0	0.301	0.491
B2M	PLCG1	9606.ENSP00000452780	9606.ENSP00000244007	0	0	0	0	0.062	0	0.600	0.112	0.637
B2M	MT2A	9606.ENSP00000452780	9606.ENSP00000245185	0	0	0	0	0.081	0	0	0.431	0.455
B2M	IRF1	9606.ENSP00000452780	9606.ENSP00000245414	0	0	0	0	0.253	0	0	0.393	0.527
B2M	FGF2	9606.ENSP00000452780	9606.ENSP00000264498	0	0	0	0	0	0	0	0.401	0.401
B2M	CYBRD1	9606.ENSP00000452780	9606.ENSP00000319141	0	0	0	0	0.069	0	0	0.431	0.447
B2M	LSP1	9606.ENSP00000452780	9606.ENSP00000371194	0	0	0	0	0.203	0.800	0	0.092	0.842
B2M	BMPR1B	9606.ENSP00000452780	9606.ENSP00000401907	0	0	0	0	0	0	0.540	0.081	0.559
B2M	SERPINA1	9606.ENSP00000452780	9606.ENSP00000416066	0	0	0	0	0.139	0	0	0.505	0.555
B2M	VEGFA	9606.ENSP00000452780	9606.ENSP00000478570	0	0	0	0	0	0	0	0.518	0.518
BABAM1	DEF6	9606.ENSP00000352408	9606.ENSP00000319831	0	0	0	0	0	0.715	0	0	0.715
BABAM1	PSMD4	9606.ENSP00000352408	9606.ENSP00000357879	0	0	0	0	0.100	0	0	0.626	0.649
BANF1	TRIM28	9606.ENSP00000310275	9606.ENSP00000253024	0	0	0	0	0.195	0	0	0.447	0.536
BANF1	RCOR1	9606.ENSP00000310275	9606.ENSP00000262241	0	0	0	0	0.049	0	0	0.525	0.530
BANF1	STAT6	9606.ENSP00000310275	9606.ENSP00000300134	0	0	0	0	0	0	0	0.456	0.456
BANF1	TUFM	9606.ENSP00000310275	9606.ENSP00000322439	0	0	0	0	0.143	0.308	0	0.071	0.401
BCAT1	UROD	9606.ENSP00000443459	9606.ENSP00000246337	0	0	0	0	0	0	0	0.418	0.418
BCAT1	GCH1	9606.ENSP00000443459	9606.ENSP00000419045	0.219	0	0	0	0.057	0	0	0.260	0.407
BCAT1	THNSL1	9606.ENSP00000443459	9606.ENSP00000434887	0.165	0	0	0	0.065	0.142	0	0.216	0.404
BEND7	MTSS1L	9606.ENSP00000345773	9606.ENSP00000341171	0	0	0	0	0	0	0	0.550	0.550
BEST1	TMTC2	9606.ENSP00000399709	9606.ENSP00000322300	0	0	0	0	0	0	0	0.426	0.426
BICD1	CCDC184	9606.ENSP00000281474	9606.ENSP00000320849	0	0	0	0	0	0	0	0.414	0.414
BICD1	CLPTM1L	9606.ENSP00000281474	9606.ENSP00000313854	0	0	0	0	0	0	0	0.518	0.518
BICD1	TRAK1	9606.ENSP00000281474	9606.ENSP00000328998	0	0	0	0	0.062	0	0	0.552	0.562
BICD1	FMR1	9606.ENSP00000281474	9606.ENSP00000359506	0	0	0	0	0	0.159	0	0.554	0.609
BMP2K	BMPER	9606.ENSP00000334836	9606.ENSP00000297161	0	0	0	0	0	0	0	0.441	0.441
BMP4	DCN	9606.ENSP00000245451	9606.ENSP00000052754	0	0	0	0	0.062	0.056	0	0.403	0.425
BMP4	HOXB7	9606.ENSP00000245451	9606.ENSP00000239165	0	0	0	0	0.062	0.057	0	0.459	0.479
BMP4	SLIT3	9606.ENSP00000245451	9606.ENSP00000332164	0	0	0	0	0.081	0.056	0	0.399	0.433
BMP4	TNFRSF11B	9606.ENSP00000245451	9606.ENSP00000297350	0	0	0	0	0.062	0	0	0.467	0.479
BMP4	LGR5	9606.ENSP00000245451	9606.ENSP00000266674	0	0	0	0	0.070	0.056	0	0.459	0.483
BMP4	LHX2	9606.ENSP00000245451	9606.ENSP00000362717	0	0	0	0	0	0	0	0.512	0.512
BMP4	SP7	9606.ENSP00000245451	9606.ENSP00000443827	0	0	0	0	0	0.057	0	0.610	0.617
BMP4	PITX2	9606.ENSP00000245451	9606.ENSP00000304169	0	0	0	0	0.076	0	0	0.671	0.683
BMP4	FGF2	9606.ENSP00000245451	9606.ENSP00000264498	0	0	0	0	0	0	0	0.870	0.870
BMP4	BMPER	9606.ENSP00000245451	9606.ENSP00000297161	0	0	0	0	0	0.438	0	0.802	0.884
BMP4	MAP3K7	9606.ENSP00000245451	9606.ENSP00000358335	0	0	0	0	0	0.150	0.900	0.218	0.927
BMP4	VEGFA	9606.ENSP00000245451	9606.ENSP00000478570	0	0	0	0	0	0	0	0.951	0.951
BMP4	BMPR1B	9606.ENSP00000245451	9606.ENSP00000401907	0	0	0	0	0	0.652	0.900	0.983	0.999
BMPER	BMPR1B	9606.ENSP00000297161	9606.ENSP00000401907	0	0	0	0	0.062	0.147	0	0.577	0.632
BMPR1B	TOB2	9606.ENSP00000401907	9606.ENSP00000331305	0	0	0	0	0	0.060	0	0.388	0.400
BMPR1B	MAP3K7	9606.ENSP00000401907	9606.ENSP00000358335	0	0	0	0.573	0.063	0	0.900	0.202	0.909
BMPR1B	SPG20	9606.ENSP00000401907	9606.ENSP00000414147	0	0	0	0	0.063	0.058	0	0.407	0.430
BTBD19	RNASEH1	9606.ENSP00000395461	9606.ENSP00000313350	0	0	0	0	0	0	0	0.480	0.480
C15orf39	DENND3	9606.ENSP00000353854	9606.ENSP00000262585	0	0	0	0	0.077	0	0	0.421	0.442
C17orf59	LAMTOR1	9606.ENSP00000373669	9606.ENSP00000278671	0	0	0	0	0	0.282	0	0.289	0.467
C4B	FCN3	9606.ENSP00000415941	9606.ENSP00000270879	0	0	0	0	0.087	0	0.900	0.610	0.961
C4B	CA2	9606.ENSP00000415941	9606.ENSP00000285379	0	0	0	0	0	0	0	0.466	0.466
C4B	MASP1	9606.ENSP00000415941	9606.ENSP00000296280	0	0	0	0	0.082	0.388	0.900	0.862	0.991
C4B	PROS1	9606.ENSP00000415941	9606.ENSP00000377783	0	0	0	0	0.083	0	0	0.977	0.978
C4B	TNXB	9606.ENSP00000415941	9606.ENSP00000407685	0	0	0	0	0.137	0	0	0.612	0.651
C4B	SERPINA1	9606.ENSP00000415941	9606.ENSP00000416066	0	0	0	0	0.143	0	0	0.536	0.585
C5orf56	IRF1	9606.ENSP00000338228	9606.ENSP00000245414	0	0	0	0	0	0	0	0.539	0.539
CA2	TNFRSF11B	9606.ENSP00000285379	9606.ENSP00000297350	0	0	0	0	0	0	0	0.420	0.420
CACNB1	PPP2R5A	9606.ENSP00000377840	9606.ENSP00000261461	0	0	0	0	0	0.104	0.600	0.049	0.629
CACNB1	CACNB3	9606.ENSP00000377840	9606.ENSP00000301050	0	0	0	0.954	0.082	0.692	0.540	0.692	0.863
CACNB3	PPP2R5A	9606.ENSP00000301050	9606.ENSP00000261461	0	0	0	0	0	0.089	0.600	0.043	0.620
CACNB3	GNGT2	9606.ENSP00000301050	9606.ENSP00000426022	0	0	0	0	0	0	0.900	0	0.900
CACUL1	RAD23B	9606.ENSP00000358147	9606.ENSP00000350708	0	0	0	0	0.086	0.223	0	0.291	0.452
CACUL1	GRK5	9606.ENSP00000358147	9606.ENSP00000376609	0	0	0	0	0	0.078	0	0.568	0.585
CCDC184	RPUSD3	9606.ENSP00000320849	9606.ENSP00000373331	0	0	0	0	0	0	0	0.531	0.531
CCNJL	TMTC2	9606.ENSP00000377547	9606.ENSP00000322300	0	0	0	0	0.062	0.129	0	0.387	0.455
CCNL1	GPATCH2	9606.ENSP00000295926	9606.ENSP00000355902	0	0	0	0	0.062	0.527	0	0.101	0.566
CCT7	MRPS7	9606.ENSP00000258091	9606.ENSP00000245539	0	0	0	0	0.203	0.059	0	0.303	0.432
CCT7	TRIM28	9606.ENSP00000258091	9606.ENSP00000253024	0	0	0	0	0.133	0.608	0	0	0.645
CCT7	TUFM	9606.ENSP00000258091	9606.ENSP00000322439	0	0	0	0	0.322	0.077	0	0.154	0.425
CCT7	EFTUD2	9606.ENSP00000258091	9606.ENSP00000392094	0	0	0	0	0.289	0.214	0	0.108	0.458
CCT7	PHB	9606.ENSP00000258091	9606.ENSP00000479488	0.048	0	0	0	0.240	0.282	0	0.109	0.476
CCT7	DNAJA2	9606.ENSP00000258091	9606.ENSP00000314030	0.044	0	0	0	0.231	0.056	0	0.427	0.549
CCT7	VCP	9606.ENSP00000258091	9606.ENSP00000351777	0	0	0.235	0	0.177	0.127	0	0.358	0.601
CCT7	FKBP9	9606.ENSP00000258091	9606.ENSP00000439250	0	0	0	0	0.051	0	0.600	0.080	0.620
CCT7	EDARADD	9606.ENSP00000258091	9606.ENSP00000335076	0	0	0	0	0.104	0	0	0.593	0.620
CCT7	GNGT2	9606.ENSP00000258091	9606.ENSP00000426022	0	0	0	0	0	0	0.650	0	0.650
CCT7	PSMD4	9606.ENSP00000258091	9606.ENSP00000357879	0	0	0	0	0.563	0.133	0	0.229	0.682
CCT7	RPS26	9606.ENSP00000258091	9606.ENSP00000348849	0	0	0	0	0.855	0.060	0	0.139	0.873
CD83	ITGAE	9606.ENSP00000368450	9606.ENSP00000263087	0	0	0	0	0.062	0	0	0.459	0.470
CD83	CSF1	9606.ENSP00000368450	9606.ENSP00000327513	0	0	0	0	0.062	0	0	0.391	0.404
CDK5	SEMA3A	9606.ENSP00000419782	9606.ENSP00000265362	0	0	0	0	0	0	0.600	0.506	0.793
CDK5	DDX10	9606.ENSP00000419782	9606.ENSP00000314348	0	0	0	0	0	0	0	0.482	0.482
CDK5	MAPT	9606.ENSP00000419782	9606.ENSP00000340820	0	0	0	0	0.062	0.905	0.900	0.765	0.997
CDK5	MEF2A	9606.ENSP00000419782	9606.ENSP00000346389	0	0	0	0	0	0.213	0	0.350	0.466
CDON	MEF2A	9606.ENSP00000376458	9606.ENSP00000346389	0	0	0	0	0	0	0.650	0.095	0.669
CHCHD1	MRPL51	9606.ENSP00000361923	9606.ENSP00000229238	0	0	0	0	0.394	0.800	0	0	0.873
CHCHD1	MRPS7	9606.ENSP00000361923	9606.ENSP00000245539	0	0	0	0	0.094	0.847	0.800	0.372	0.980
CHCHD1	TACO1	9606.ENSP00000361923	9606.ENSP00000258975	0	0	0	0	0	0.096	0	0.477	0.507
CHCHD1	ICT1	9606.ENSP00000361923	9606.ENSP00000301585	0	0	0	0	0.208	0.850	0	0.268	0.906
CHCHD1	MRPS11	9606.ENSP00000361923	9606.ENSP00000317376	0	0	0	0	0.111	0.842	0.800	0.180	0.974
CHCHD1	MRPS23	9606.ENSP00000361923	9606.ENSP00000320184	0	0	0	0	0.264	0.847	0.800	0	0.975
CHCHD1	MRPL24	9606.ENSP00000361923	9606.ENSP00000354525	0	0	0	0	0.124	0.834	0	0.235	0.879
CHCHD1	MRPL14	9606.ENSP00000361923	9606.ENSP00000361084	0	0	0	0	0.750	0.823	0	0	0.954
CHCHD1	MRPL2	9606.ENSP00000361923	9606.ENSP00000373404	0	0	0	0	0.082	0.823	0	0	0.831
CHCHD1	MRPL47	9606.ENSP00000361923	9606.ENSP00000417602	0	0	0	0	0.184	0.834	0	0.558	0.935
CHCHD1	MRPS26	9606.ENSP00000361923	9606.ENSP00000369682	0	0	0	0	0.120	0.851	0.800	0	0.971
CHCHD1	MRPS12	9606.ENSP00000361923	9606.ENSP00000384952	0	0	0	0	0.297	0.821	0.800	0	0.972
CHMP6	VPS25	9606.ENSP00000317468	9606.ENSP00000253794	0	0	0	0	0.108	0.995	0.900	0.995	0.999
CHMP6	RHPN2	9606.ENSP00000317468	9606.ENSP00000254260	0	0	0	0	0.064	0.144	0	0.495	0.560
CISD1	CYC1	9606.ENSP00000363041	9606.ENSP00000317159	0	0	0	0	0.219	0.368	0	0	0.485
CISD1	PARL	9606.ENSP00000363041	9606.ENSP00000325421	0	0	0	0	0	0	0	0.422	0.422
CISD1	FKBP9	9606.ENSP00000363041	9606.ENSP00000439250	0	0	0	0	0.063	0	0	0.431	0.445
CISH	PLCG1	9606.ENSP00000409346	9606.ENSP00000244007	0	0	0	0	0	0.270	0	0.249	0.428
CISH	IRF1	9606.ENSP00000409346	9606.ENSP00000245414	0	0	0	0	0.085	0	0	0.469	0.493
CISH	STAT6	9606.ENSP00000409346	9606.ENSP00000300134	0	0	0	0	0.065	0.161	0.800	0.640	0.936
CISH	SPSB1	9606.ENSP00000409346	9606.ENSP00000330221	0	0	0	0	0	0	0	0.764	0.764
CISH	SPSB2	9606.ENSP00000409346	9606.ENSP00000428338	0	0	0	0	0	0	0	0.720	0.720
CISH	GHR	9606.ENSP00000409346	9606.ENSP00000483403	0	0	0	0	0.062	0.476	0.900	0.466	0.970
CLDN11	PMP22	9606.ENSP00000064724	9606.ENSP00000484631	0	0	0	0	0	0	0	0.816	0.816
CLPB	TUFM	9606.ENSP00000294053	9606.ENSP00000322439	0.043	0	0	0	0.107	0.060	0	0.511	0.554
CLPB	DNAJA2	9606.ENSP00000294053	9606.ENSP00000314030	0.070	0	0	0	0.160	0.162	0	0.479	0.613
CLPB	VCP	9606.ENSP00000294053	9606.ENSP00000351777	0	0	0	0	0.110	0.056	0	0.610	0.644
COL4A3BP	DLC1	9606.ENSP00000369862	9606.ENSP00000276297	0	0	0	0	0.063	0	0	0.715	0.722
COL4A3BP	SGMS2	9606.ENSP00000369862	9606.ENSP00000378176	0	0	0	0	0.065	0	0	0.559	0.570
COL4A3BP	SAMD8	9606.ENSP00000369862	9606.ENSP00000438042	0	0	0	0	0.065	0	0	0.706	0.714
COX16	COX7A2	9606.ENSP00000374562	9606.ENSP00000359098	0	0	0	0	0.152	0	0	0.336	0.413
COX7A2	NDUFA9	9606.ENSP00000359098	9606.ENSP00000266544	0	0	0	0	0.180	0.129	0	0.249	0.417
COX7A2	NDUFB9	9606.ENSP00000359098	9606.ENSP00000276689	0	0	0	0	0.715	0.129	0	0.338	0.821
COX7A2	HINT1	9606.ENSP00000359098	9606.ENSP00000304229	0	0	0	0	0.809	0	0	0.122	0.825
COX7A2	CYC1	9606.ENSP00000359098	9606.ENSP00000317159	0	0	0	0	0.268	0.404	0	0.119	0.582
COX7A2	SLIRP	9606.ENSP00000359098	9606.ENSP00000450909	0	0	0	0	0.678	0	0	0.165	0.719
CREBRF	HIPK3	9606.ENSP00000296953	9606.ENSP00000304226	0	0	0	0	0.086	0	0	0.467	0.492
CRY2	CSNK1A1	9606.ENSP00000478187	9606.ENSP00000421689	0	0	0	0	0	0.172	0	0.462	0.536
CSF1	IRF1	9606.ENSP00000327513	9606.ENSP00000245414	0	0	0	0	0.063	0	0	0.392	0.405
CSF1	ITGAE	9606.ENSP00000327513	9606.ENSP00000263087	0	0	0	0	0	0	0	0.420	0.420
CSF1	FGF2	9606.ENSP00000327513	9606.ENSP00000264498	0	0	0	0	0.062	0	0	0.526	0.537
CSF1	CSF1R	9606.ENSP00000327513	9606.ENSP00000286301	0	0	0	0	0.062	0.982	0.900	0.989	0.999
CSF1	TNFRSF11B	9606.ENSP00000327513	9606.ENSP00000297350	0	0	0	0	0.062	0	0	0.662	0.670
CSF1	STAT6	9606.ENSP00000327513	9606.ENSP00000300134	0	0	0	0	0.062	0	0	0.498	0.508
CSF1	SP7	9606.ENSP00000327513	9606.ENSP00000443827	0	0	0	0	0	0	0	0.409	0.408
CSF1	IL33	9606.ENSP00000327513	9606.ENSP00000370842	0	0	0	0	0.062	0	0	0.414	0.426
CSF1	VEGFA	9606.ENSP00000327513	9606.ENSP00000478570	0	0	0	0	0.065	0	0	0.685	0.693
CSF1R	PLCG1	9606.ENSP00000286301	9606.ENSP00000244007	0	0	0	0	0.063	0.153	0	0.373	0.459
CSF1R	ITGAE	9606.ENSP00000286301	9606.ENSP00000263087	0	0	0	0	0	0	0	0.559	0.559
CSF1R	FGF2	9606.ENSP00000286301	9606.ENSP00000264498	0	0	0	0	0	0.183	0.600	0.432	0.798
CSF1R	STAT6	9606.ENSP00000286301	9606.ENSP00000300134	0	0	0	0	0.065	0.111	0	0.345	0.408
CSF1R	MAP3K14	9606.ENSP00000286301	9606.ENSP00000482657	0	0	0	0	0.063	0	0	0.405	0.418
CSF1R	TNFRSF11B	9606.ENSP00000286301	9606.ENSP00000297350	0	0	0	0	0	0	0	0.500	0.499
CSF1R	SHC4	9606.ENSP00000286301	9606.ENSP00000329668	0	0	0	0	0	0.174	0.600	0.130	0.687
CSF1R	VEGFA	9606.ENSP00000286301	9606.ENSP00000478570	0	0	0	0	0	0.059	0.600	0.809	0.922
CSNK1A1	PPP2R5A	9606.ENSP00000421689	9606.ENSP00000261461	0	0	0	0	0.063	0.228	0.600	0.111	0.708
CSNK1A1	MAPT	9606.ENSP00000421689	9606.ENSP00000340820	0	0	0	0	0	0.497	0	0.119	0.538
CSNK1A1	CTNNBIP1	9606.ENSP00000421689	9606.ENSP00000366474	0	0	0	0	0.062	0	0.720	0.312	0.803
CTNNBIP1	GPR157	9606.ENSP00000366474	9606.ENSP00000366628	0	0	0	0	0	0	0	0.437	0.437
