gene1,gene2,score
MYO15A,ITGB2,0.69
MYO15A,TECTB,0.623
MYO15A,DNAH2,0.754
MYO15A,MBNL2,0.435
MYO15A,TMOD4,0.47
MYO15A,GYPC,0.627
MYO15A,GSN,0.544
AASDH,ABCA10,0.45
AASDH,PFAS,0.43
AASDH,ACSF2,0.477
AASDH,PHYKPL,0.545
AASDH,TYRP1,0.636
AASDH,HSDL1,0.413
MYO15A,SRRM3,0.42
MYO15A,CLDN14,0.576
MYO15A,KCNQ4,0.632
MYO15A,GJB3,0.577
MYO15A,DFNB59,0.686
MYO15A,ACTG1,0.457
MYO15A,WHRN,0.998
MYO15A,GPSM2,0.465
HAUS4,KIFC1,0.44
HAUS4,TTC39C,0.42
HAUS4,HAUS3,0.995
HAUS4,FAM83D,0.43
HAUS4,HAUS5,0.993
HAUS4,MIS18BP1,0.409
TGM1,ZNF215,0.41
HAUS4,HAUS2,0.996
HAUS4,REEP4,0.515
HAUS4,HAUS6,0.997
HAUS4,CDK1,0.647
HAUS4,TUBG1,0.643
HAUS4,C9orf40,0.468
HAUS4,HAUS8,0.996
HAUS4,ARL8A,0.416
G2E3,NDC80,0.471
G2E3,KIF23,0.456
G2E3,GTSE1,0.465
G2E3,CKAP2L,0.653
G2E3,AURKB,0.405
G2E3,PLK1,0.462
G2E3,ARHGEF39,0.612
G2E3,MBOAT7,0.429
G2E3,NTNG2,0.43
TGM1,HIST1H1B,0.413
TGM1,IVL,0.971
TGM1,HADHA,0.431
G2E3,CEP55,0.423
G2E3,AURKA,0.404
G2E3,FAM64A,0.41
G2E3,DLGAP5,0.605
G2E3,HJURP,0.4
G2E3,MELK,0.475
G2E3,NUSAP1,0.493
G2E3,SMC2,0.407
G2E3,CDC20,0.513
G2E3,KIF11,0.655
G2E3,BORA,0.693
G2E3,IAH1,0.546
G2E3,TTK,0.518
G2E3,KIF14,0.412
G2E3,GAS2L3,0.576
XYLB,MRE11,0.449
TGM1,LCE3D,0.753
TGM1,GGT7,0.526
TGM1,ABHD5,0.6
TGM1,ABCA12,0.832
XYLB,ADK,0.476
XYLB,NELFB,0.647
XYLB,GALE,0.434
XYLB,CRYZL1,0.66
TGM1,LOR,0.914
TGM1,KRT16,0.734
XYLB,G6PD,0.628
XYLB,L2HGDH,0.442
XYLB,ACVR2B,0.61
XYLB,IDI1,0.412
XYLB,ATP6V0A1,0.432
XYLB,GPD2,0.595
XYLB,PNP,0.426
XYLB,MRPS6,0.42
XYLB,GRHPR,0.481
XYLB,SLC22A13,0.917
XYLB,TREH,0.492
XYLB,PFAS,0.506
XYLB,FGGY,0.445
CDC6,GTSE1,0.431
CDC6,KIFC1,0.55
CDC6,CENPU,0.701
CDC6,KIF2C,0.801
CDC6,ANAPC5,0.939
CDC6,UHRF1,0.782
CDC6,FOXM1,0.738
CDC6,CCNB1,0.989
CDC6,PLK1,0.871
CDC6,FZR1,0.991
CDC6,CHEK1,0.988
CDC6,DNAJC9,0.475
CDC6,UBE2T,0.753
CDC6,EZH2,0.504
